id,availability,condition,description,image_link,link,title,price,brand
"PL-008","in stock","new","Get cheeky! Create perfect cheekbones, definition, and warmth with six oversized matte shades providing contouring, highlighting, and bronzing. Mix and blend—having fun while accenting your cheekbone structure and bronzing for that instant and much-envied ‘just-returned-from-the-beach-look’!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/6/c/6contourblush_ph001.jpg","https://stage-glamazle.hyperx.cloud/coastal-scents-6-contour-blush-palette.html?___store=default","Coastal Scents 6 Contour Blush Palette","70.000000","Coastal Scents"
"PL-036","in stock","new","Expose your natural beauty with this exquisite collection of nude and metallic hues. These smooth, powdered shadows blend seamlessly to create an array of day or evening looks. The slim palette holds all twenty shadows, allowing for easy on-the-go application.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/e/revealed-with-blur-1150_1_1.jpg","https://stage-glamazle.hyperx.cloud/coastal-scents-revealed-palette.html?___store=default","Coastal Scents Revealed Palette","90.000000","Coastal Scents"
"PL-037","in stock","new","Influenced by the lustrous beauty of its predecessor, the Revealed 2 palette presents an ALL NEW selection of twenty gorgeous mattes and shimmers.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/p/l/pl-037_side_2.jpg","https://stage-glamazle.hyperx.cloud/coastal-scents-revealed-2.html?___store=default","Coastal Scents Revealed 2","90.000000","Coastal Scents"
"82463","in stock","new","This convenient jumbo sized lip pencil creates exact color application with twist up ease so you never have to sharpen. The pigment rich color glides on effortlessly and easily to provide long lasting matte color. The enriched Vitamin A, C & E formula moisturizes and hydrates lips for beautiful healthy looking lips.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/e/l/elf-studio-matte-lip-color-tea-rose.jpg","https://stage-glamazle.hyperx.cloud/elf-matte-lip-color-tea-rose.html?___store=default","Elf Matte Lip Color - Tea Rose","19.000000","Elf"
"82464","out of stock","new","This convenient jumbo sized lip pencil creates exact color application with twist up ease so you never have to sharpen. The pigment rich color glides on effortlessly and easily to provide long lasting matte color. The enriched Vitamin A, C & E formula moisturizes and hydrates lips for beautiful healthy looking lips.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/p/r/praline.jpg","https://stage-glamazle.hyperx.cloud/elf-matte-lip-color-praline.html?___store=default","Elf Matte Lip Color - Praline","19.000000","Elf"
"82466","out of stock","new","This convenient jumbo sized lip pencil creates exact color application with twist up ease so you never have to sharpen. The pigment rich color glides on effortlessly and easily to provide long lasting matte color. The enriched Vitamin A, C & E formula moisturizes and hydrates lips for beautiful healthy looking lips.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/e/l/elfrichredmattelipcolor1.jpg","https://stage-glamazle.hyperx.cloud/elf-matte-lip-color-rich-red.html?___store=default","Elf Matte Lip Color - Rich Red","19.000000","Elf"
"83314","out of stock","new","This beautiful blush palette holds 4 gorgeous shades to mix and match throughout the year for a custom blended color. Great for contouring, shading, sculpting, and highlighting, these silky smooth blushes create a beautiful pigmented glow. With a mixture of complimentary matte and shimmer finishes, you can achieve a professional look every time.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/4/14881_83314_900px_bestie45856.9.jpg.45856.9.jpg","https://stage-glamazle.hyperx.cloud/elf-blush-palette-light.html?___store=default","Elf Blush Palette -Light","39.000000","Elf"
"83315","out of stock","new","This beautiful blush palette holds 4 gorgeous shades to mix and match throughout the year for a custom blended color. Great for contouring, shading, sculpting, and highlighting, these silky smooth blushes create a beautiful pigmented glow. With a mixture of complimentary matte and shimmer finishes, you can achieve a professional look every time.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/4/14881_83314_900px_bestie45856.9.jpg.45856.9_1.jpg","https://stage-glamazle.hyperx.cloud/elf-blush-palette-dark.html?___store=default","Elf Blush Palette - Dark","39.000000","Elf"
"RT_sponge","in stock","new","Optimize your beauty routine with this 3-in-1 multi-functional sponge.

Rounded sides blend large areas of the face with a repeated dabbing or &ldquo;stippling&rdquo; motion.
Precision tip covers blemishes and imperfections.
Flat edge for the contours around the eyes and nose.

Its versatile design evenly blends makeup for a smooth, enhanced finish.&nbsp;","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/i/miracle-complexion-sponge-full-01.png","https://stage-glamazle.hyperx.cloud/real-techniques-miracle-complexion-sponge.html?___store=default","Real Techniques Miracle Complexion Sponge","44.000000","Real Techniques"
"82643","in stock","new","The velvety, satin texture glides on lips with vibrant colour and luminous shine. Enriched with Shea and Vitamins A, C, & E to nourish and hydrate the lips. The rich, creamy formula seals in moisture for long-lasting wear and comfort.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/o/r/orangedream.jpg","https://stage-glamazle.hyperx.cloud/elf-moisturizing-lipstick-orange-dream.html?___store=default","Elf Moisturizing Lipstick - Orange Dream","19.000000","Elf"
